image,total_file_count
rabbitmq:latest,5135
python:latest,25365
drupal:latest,31478
composer:latest,5821
mediawiki:latest,36624
golang:latest,27628
redmine:latest,23026
node:latest,27685
kong:latest,5368
ruby:latest,25214
swift:latest,16013
ibmjava:latest,3418
influxdb:latest,7535
rust:latest,23143
telegraf:latest,9684
swipl:latest,7783
hylang:latest,7218
plone:latest,41180
wordpress:latest,15678
gradle:latest,13585
groovy:latest,6950
cassandra:latest,7744
mariadb:latest,7787
ubuntu:latest,2593
aerospike:latest,7413
geonetwork:latest,15056
jetty:latest,5054
maven:latest,12147
adminer:latest,1631
vault:latest,2004
eggdrop:latest,1625
eclipse-mosquitto:latest,854
docker:latest,861
traefik:latest,1988
znc:latest,11921
teamspeak:latest,1182
consul:latest,2175
bonita:latest,1914
bash:latest,658
sonarqube:latest,1949
sl:latest,7607
photon:latest,704
xwiki:latest,25948
convertigo:latest,16017
tomcat:latest,14428
haxe:latest,15551
joomla:latest,19839
memcached:latest,4344
pypy:latest,25775
rakudo-star:latest,14183
kapacitor:latest,8131
gcc:latest,24797
ghost:latest,58800
nextcloud:latest,31717
zookeeper:latest,6808
tomee:latest,8633
flink:latest,8397
solr:latest,9807
orientdb:latest,5616
neo4j:latest,5566
lightstreamer:latest,14016
jruby:latest,11842
mono:latest,13655
perl:latest,24700
neurodebian:latest,6789
rethinkdb:latest,4987
haskell:latest,18466
couchdb:latest,6755
irssi:latest,8954
redis:latest,4305
nginx:latest,5295
spiped:latest,5792
julia:latest,6608
httpd:latest,4977
chronograf:latest,5046
postgres:latest,8940
php:latest,10117
haproxy:latest,4303
debian:latest,6360
crate:latest,14065
nats:latest,2
mongo-express:latest,11987
thrift:latest,2558
rapidoid:latest,5125
percona:latest,16571
centos:latest,8968
fsharp:latest,12371
mageia:latest,11220
cirros:latest,603
crux:latest,18036
euleros:latest,8212
owncloud:latest,23232
piwik:latest,18664
celery:latest,11273
iojs:latest,24074
django:latest,17963
